title,url,contributors,date,format,fulltext_url,trove_id,language,rights,pages,form,volume,parent,children
"Feilt! : a welcome to the Australian-Scottish Delegation on their visit to Perth, June, 1928 / presented with the greetings and good wishes of General Accident Fire & Life Assurance Corporation Limited",https://trove.nla.gov.au/work/11965519,General Accident Fire & Life Assurance Corporation,1928,Book|Book/Illustrated,http://nla.gov.au/nla.obj-52865679,nla.obj-52865679,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,19,Book,,,
The war memorial of Victoria and capital : a suggestion / by William Lucas,https://trove.nla.gov.au/work/11966382,"Lucas, William, 1861-1939",1919,Book|Book/Illustrated,http://nla.gov.au/nla.obj-52779328,nla.obj-52779328,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,10,Book,,,
"Homebush Congregational Church, laying the foundation stone on Saturday afternoon, December 1st, 1883 ... : programme of proceedings",https://trove.nla.gov.au/work/11966459,Homebush Congregational Church (N.S.W.),1883,Book,https://nla.gov.au/nla.obj-2618417046,nla.obj-2618417046,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,4,Book,,,
Sir Joseph Banks's Memorial Fund,https://trove.nla.gov.au/work/11967403,"Maiden, J. H. (Joseph Henry), 1859-1925",1906,Book,http://nla.gov.au/nla.obj-359317286,nla.obj-359317286,,,4,Book,,,
"In memoriam : souvenir of the official year of Joseph Beale, President of New South Wales conference 1909-1910, with memorial sketch, addresses etc",https://trove.nla.gov.au/work/11967603,Methodist Church of Australasia. New South Wales Conference,1911,Book,http://nla.gov.au/nla.obj-359595320,nla.obj-359595320,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,52,Book,,,
Recollections of T.E. Brown / by Edwin Bean,https://trove.nla.gov.au/work/11967631,"Bean, Edwin, 1851-1922",1928,Book|Book/Illustrated,http://nla.gov.au/nla.obj-359539896,nla.obj-359539896,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,4,Book,,,
"In memoriam : William Henry Beard, who died at his residence, ""Ebley"", Shaftesbury Road, Burwood, on July 19th, 1903 / S.E.W. [Samuel Elijah Watts]",https://trove.nla.gov.au/work/11967711,S. E. W,1903,Book,https://nla.gov.au/nla.obj-345357044,nla.obj-345357044,English,Out of Copyright,2,Book,,,
"The descent of Beck of Northern Ireland, from the patrician family of Beck, Aachen (Aix-la-Chapelle), kin to Beck of London, Stolberg, and families of Beck in Holland in the seventeenth century / by William Beck",https://trove.nla.gov.au/work/11967741,"Beck, W. (William)",1957,Book/Illustrated|Book,http://nla.gov.au/nla.obj-359710466,nla.obj-359710466,,,45,Book,,,
"Souvenir of the jubilee of S. James' Church, Mortlake : being a record of 50 years, 1864-1914 / compiled by J. Wagg",https://trove.nla.gov.au/work/11994158,"Wagg, J",1914,Book|Book/Illustrated|Microform,https://nla.gov.au/nla.obj-2691285229,nla.obj-2691285229,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,30,Book,,,
"Report on pastoral country about Barrow's Creek Telegraph Station, overland telegraph, N.T., 20,000 square miles, 25 years' leases",https://trove.nla.gov.au/work/11994357,"Stuart, John McDouall, 1815-1866",1882,Book|Book/Illustrated,https://nla.gov.au/nla.obj-27895014,nla.obj-27895014,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,32,Book,,,
The Australian natives : tragedy and romance / by Sir John Harris,https://trove.nla.gov.au/work/11994515,"Harris, John, Sir",1937,Book|Book/Illustrated,https://nla.gov.au/nla.obj-254624193,nla.obj-254624193,English,In Copyright,15,Book,,,
Catalogue of the York Gate Geographical and Colonial Library,https://trove.nla.gov.au/work/11995291,"Petherick, Edward Augustus, 1847-1917",1882,Book,http://nla.gov.au/nla.obj-590640270,nla.obj-590640270,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,200,Book,,,
Eaglehawk and Crow : a study of the Australian aborigines including an inquiry into their origin and a survey of Australian languages,https://trove.nla.gov.au/work/1199556,"Mathew, John, 1849-1929",1899-2010,Book|Book/Illustrated|Unpublished,http://nla.gov.au/nla.obj-52758516,nla.obj-52758516,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,320,Book,,,
"Benjamin Boyd, Merchant / by J.H. Watson",https://trove.nla.gov.au/work/11996429,"Watson, J. H. (James Henry), 1841-",1907,Book/Illustrated|Book,http://nla.gov.au/nla.obj-360752677,nla.obj-360752677,,,26,Book,,,
The Adelaide libel at a glance : published by request,https://trove.nla.gov.au/work/11996585,,1840,Book,http://nla.gov.au/nla.obj-103716394,nla.obj-103716394,,,1,Book,,,
Souvenir of the retirement of the Hon. J.C. Watson from the leadership of the Labor Party in the Australian House of Representatives,https://trove.nla.gov.au/work/11996612,"Fisher, Andrew, 1862-1928",1907,Book/Illustrated|Book,http://nla.gov.au/nla.obj-226856014,nla.obj-226856014,,,0,Manuscript,,,
Dai shu xue / [Dimegan zhuan ; Weilieyali kou yi ; Li Shanlan bi shou],https://trove.nla.gov.au/work/11997374,"De Morgan, Augustus, 1806-1871",1859,Book,https://nla.gov.au/nla.obj-47294093,nla.obj-47294093,Chinese,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,217,Book,,,
"Advice to emigrants intending to settle in New Zealand, Cape of Good Hope, or the Falkland Islands, selected chiefly from letters of practical men who have become settlers in these colonies",https://trove.nla.gov.au/work/11997884,,1849,Book/Illustrated|Book,http://nla.gov.au/nla.obj-4559356,nla.obj-4559356,,,90,Book,,,
"Souvenir to commemorate the first anniversary of unity in the Chinese Republic, Sydney, N.S.W., February 12, 1913",https://trove.nla.gov.au/work/11999475,"Chan, Samuel",1913,Book|Book/Illustrated,http://nla.gov.au/nla.obj-52780765,nla.obj-52780765,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,61,Book,,,
